PROTEIN GROUP;GENE;DISTANZA DALL'ER;Q-VALUE DALL'ER;DISTANZA DAL REPLICOMA ;Q-VALUE REPLICOMA;RISULTATO;PREDICTED LOCALIZATION IN INF (analisi con proteine virali);DISTANZA DELLE DISTANCE;DISTANZA DELLE DISTANZE 0-1;TERZILI;top 25%
Q7Z7K0;CMC1;0,8962609;0,03143896;0,9728467;0,02715442;Vicino all'ER;Mitochondria;0,0765858;0,184726713;;
A0A0S2Z377;ANXA6;1,379302;0,5259473;1,455866;0,377666;Vicino all'ER;endosome-vesicle;0,076564;0,184660053;;
A6NEL0;HMGN1;0,9997483;0,06849454;0,9415829;0,02142807;Vicino al REPLICOMA;Nucleus;0,0581654;0,128400124;;
P20340;RAB6A;0,9080073;0,0338967;0,9844309;0,0291163;Vicino all'ER;Golgi apparatus;0,0764236;0,184230732;;
Q13151;HNRNPA0;0,6632884;0,004374131;0,651463;0,002525253;Vicino al REPLICOMA;Nucleus;0,0118254;-0,013300064;;
Q13185;CBX3;1,004106;0,07046601;1,080356;0,05308511;Vicino all'ER;Nucleus;0,07625;0,183699892;;
Q9P0M6;MACROH2A2;0,7220429;0,00759636;0,7982065;0,007865232;Vicino all'ER;Nucleus;0,0761636;0,183435694;;
P17676;CEBPB;1,200187;0,2304755;1,276317;0,1601875;Vicino all'ER;Nucleus;0,07613;0,183332951;;
M0QZ12;GRAMD1A;0,5847912;0,001933333;0,6607155;0,002742248;Vicino all'ER;Mitochondria;0,0759243;0,182703954;;
A0A0A6YYA0;TMED7-TICAM2;1,057282;0,1020664;1,133202;0,07162238;Vicino all'ER;PM;0,07592;0,182690805;;
A0A7P0T963;ADGB;1,212176;0,2451285;1,288057;0,1708632;Vicino all'ER;Nucleus;0,075881;0,18257155;Q2;x
A0A087WU03;HNRNPDL;0,8485374;0,0215225;0,8076749;0,0083061;Vicino al REPLICOMA;Nucleus;0,0408625;0,075490668;;
P16989;YBX3;1,566537;0,8923782;1,642128;0,7206509;Vicino all'ER;Translation;0,075591;0,181684777;;
Q8NFH4;NUP37;0,954192;0,04919774;1,02973;0,03905758;Vicino all'ER;Nucleus;0,075538;0,181522711;;
A0A669KBJ1;WHRN;1,161894;0,1864317;1,237339;0,1289799;Vicino all'ER;PM;0,075445;0,181238332;;
A0A994J4U9;HNRNPK;0,9461536;0,04647701;0,9045501;0,0162963;Vicino al REPLICOMA;Nucleus;0,0416035;0,077756526;;
Q14978;NOLC1;0,9764581;0,05847365;1,051851;0,04429152;Vicino all'ER;Nucleus;0,0753929;0,181079019;;
A0A0B4J203;A0A0B4J203;0,6715084;0,004906292;0,7468567;0,005327298;Vicino all'ER;Nucleus;0,0753483;0,18094264;;
Q9UNZ5;C19orf53;1,063273;0,1063489;1,138534;0,07377024;Vicino all'ER;Nucleus;0,075261;0,18067569;;
M0QXQ4;NUMBL;1,240981;0,2863258;1,316228;0,1970828;Vicino all'ER;endosome-vesicle;0,075247;0,180632881;;
Q9HCD5;NCOA5;1,145675;0,1715822;1,220891;0,1174598;Vicino all'ER;Nucleus;0,075216;0,180538088;;
A0A1W2PP35;HNRNPU;1,224445;0,2606301;1,176996;0,09276012;Vicino al REPLICOMA;Nucleus;0,047449;0,095631115;;
Q9NYK5;MRPL39;0,5032094;0,000704023;0,5781093;0,001177215;Vicino all'ER;Mitochondria;0,0748999;0,179571505;;
J3KTL2;SRSF1;0,7763515;0,0116509;0,8511198;0,01117729;Vicino all'ER;Nucleus;0,0747683;0,179169094;;
A0A8V8TN23;ERBIN;0,9339592;0,04207819;1,008679;0,03428302;Vicino all'ER;PM;0,0747198;0,179020789;;
G5E948;MAP4K4;1,430181;0,6333323;1,504872;0,4623828;Vicino all'ER;endosome-vesicle;0,074691;0,178932723;;
P05121;SERPINE1;0,9867899;0,06275494;1,061406;0,0472085;Vicino all'ER;PM;0,0746161;0,178703691;;
Q86UP2;KTN1;0,3003687;0;0,3748617;0;Vicino all'ER;ER;0,074493;0,178327271;;
