T: T: Genes,C: Winner INF,endosome-vesicle,protein-complex,PM,ER,Cytoplasm,Mitochondria,Nucleus,Translation,Lysosome,Peroxisome,Golgi apparatus,LD,T: T: Protein Ids,T: T: Protein Names,T: T: Protein Group,T: T: First Protein Description
ATP11C,PM,-0.941115,-2.09355,1.21012,-0.84206,-1.15643,-1.07748,-1.36733,-1.60024,-2.79655,-3.40872,-2.63982,-1.08609,A0A804HIW2;A0A067XG54,A0A067XG54_HUMAN;A0A804HIW2_HUMAN,A0A067XG54;A0A804HIW2,"Isoform of Q8NB49, Phospholipid-transporting ATPase"
AAK1;BMP2K,Translation,0.55828,-0.44044,-3.52129,-2.12378,-1.84879,-1.11514,-0.647121,0.819042,-3.7064,-2.06609,-2.70978,-1.37888,Q9NSY1;Q2M2I8;Q2M2I8-2;A0A096LP25;K4DI97;Q9NSY1-2;Q9NSY1-3;E9PG46,AAK1_HUMAN;BMP2K_HUMAN,Q2M2I8;Q2M2I8-2;Q9NSY1,AP2-associated protein kinase 1
BBS1,Translation,0.0586725,-2.71186,-2.87935,-1.94322,-1.86473,-1.52334,-0.612064,0.92334,-3.40738,-0.704385,-1.6624,-1.24619,Q8NFJ9;E7EQH1;Q8NFJ9-2,BBS1_HUMAN,Q8NFJ9;Q8NFJ9-2,Bardet-Biedl syndrome 1 protein
EXOC8,PM,-0.656006,-2.17859,0.0418878,-1.61193,-1.35964,-1.20653,-1.48228,-1.54525,-2.61615,-3.50649,-1.53989,-1.0456,Q8IYI6,EXOC8_HUMAN,Q8IYI6,Exocyst complex component 8
CTTNBP2NL,Mitochondria,-1.8496,0.504554,-2.20222,-2.90304,-2.2429,0.719382,-0.848899,-1.89513,-3.92557,-1.90819,-1.32631,-1.04343,Q9P2B4;B1AMN7,CT2NL_HUMAN,Q9P2B4,CTTNBP2 N-terminal-like protein
DNM1;DNM2;DNM3,protein-complex,-1.63856,0.7904,-1.63337,-0.940129,-1.04299,-1.8942,-2.18462,-1.30476,-3.9758,-2.13679,-2.5628,-0.960305,Q9UQ16;Q05193;P50570;A0A0U1RQP1;Q05193-2;Q05193-3;Q05193-5;H0YBC6;A0A1B0GUX5;A0A1B0GU67;Q9UQ16-2;Q9UQ16-3;Q9UQ16-4;Q9UQ16-5;A0A0D9SFB1;A0A0D9SFE4;K7EPK9;A0A8I5KXV5;P50570-2;P50570-3;P50570-4;P50570-5;E5RIK2;E5RHK8,DYN1_HUMAN;DYN2_HUMAN;DYN3_HUMAN,P50570-2;Q05193;Q05193-2;Q05193-3;Q05193-5;Q9UQ16;Q9UQ16-2;Q9UQ16-3;Q9UQ16-4,"Isoform of P50570, Isoform 2 of Dynamin-2"
DNM1;DNM2,protein-complex,-1.88585,1.04336,-1.65484,-1.97358,-1.34076,-1.40468,-2.22558,-1.2728,-4.20753,-2.10205,-2.60061,-1.14716,Q05193;P50570;A0A0U1RQP1;Q05193-2;Q05193-3;Q05193-5;A0A0D9SFB1;A0A0D9SFE4;P50570-2;P50570-3;P50570-4;P50570-5,DYN1_HUMAN;DYN2_HUMAN,P50570-2;Q05193;Q05193-2;Q05193-3;Q05193-5,"Isoform of P50570, Isoform 2 of Dynamin-2"
TSC1,protein-complex,-1.99768,0.416861,-0.907849,-0.746178,-1.07499,-1.27275,-2.4224,-1.506,-4.68658,-2.22572,-2.63101,-1.06069,Q92574;A0A2R8Y6S1;A0A2R8Y5S3;A0A2R8Y5N2;A0A2R8YFV7;Q92574-2,TSC1_HUMAN,Q92574,Hamartin
TPR,ER,-1.30887,-1.53085,-1.39855,0.105407,-1.0908,-2.94903,-0.247755,-1.3581,-3.49233,-2.30671,-2.13154,-1.27871,P12270;P12270-2,TPR_HUMAN,P12270,Nucleoprotein TPR
SPTBN1;SPTBN2,ER,-1.58928,-1.5279,-0.827362,0.545632,-1.18344,-1.95871,-2.22922,-1.21248,-3.82023,-2.09212,-2.07783,-1.08084,O15020;Q01082;Q9H254;O15020-2;Q01082-2;F8W6C1;Q9H254-2;Q9H254-4;M0QZQ3;A4QPE4;A0A087WUZ3,SPTB2_HUMAN;SPTN2_HUMAN,O15020-2;Q01082,"Isoform of O15020, Isoform 2 of Spectrin beta chain, non-erythrocytic 2"
